username,repo_name,stars,repo_url
,mrdoob,82200,https://github.com/mrdoob
libgdx,libgdx,20000,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,18000,https://github.com/pmndrs/react-three-fiber
,BabylonJS,17400,https://github.com/BabylonJS
aframevr,aframe,14200,https://github.com/aframevr/aframe
ssloy,tinyrenderer,13700,https://github.com/ssloy/tinyrenderer
,lettier,13000,https://github.com/lettier
FreeCAD,FreeCAD,11400,https://github.com/FreeCAD/FreeCAD
,metafizzy,9200,https://github.com/metafizzy
CesiumGS,cesium,8700,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8000,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7100,https://github.com/a1studmuffin/SpaceshipGenerator
,isl-org,6800,https://github.com/isl-org
,blender,5600,https://github.com/blender
domlysz,BlenderGIS,5200,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,4900,https://github.com/spritejs/spritejs
openscad,openscad,4800,https://github.com/openscad/openscad
jagenjo,webglstudio.js,4600,https://github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4600,https://github.com/tensorspace-team/tensorspace
YadiraF,PRNet,4600,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com/AaronJackson/vrn
google,model-viewer,4300,https://github.com/google/model-viewer
ssloy,tinyraytracer,4200,https://github.com/ssloy/tinyraytracer
mosra,magnum,4000,https://github.com/mosra/magnum
FyroxEngine,Fyrox,3900,https://github.com/FyroxEngine/Fyrox
gfxfundamentals,webgl-fundamentals,3600,https://github.com/gfxfundamentals/webgl-fundamentals
,tengbao,3600,https://github.com/tengbao
cleardusk,3DDFA,3300,https://github.com/cleardusk/3DDFA
,jasonlong,3200,https://github.com/jasonlong
cnr-isti-vclab,meshlab,3000,https://github.com/cnr-isti-vclab/meshlab
