username,repo_name,stars,repo_url
,public-apis,194000,https://github.com/public-apis
neovim,neovim,53800,https://github.com/neovim/neovim
,tiangolo,45400,https://github.com/tiangolo
,strapi,45100,https://github.com/strapi
,hoppscotch,43600,https://github.com/hoppscotch
slatedocs,slate,34100,https://github.com/slatedocs/slate
,hasura,26800,https://github.com/hasura
,ccxt,24500,https://github.com/ccxt
YMFE,yapi,24200,https://github.com/YMFE/yapi
Binaryify,NeteaseCloudMusicApi,24200,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,23400,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22200,https://github.com/littlecodersh/ItChat
,httpie,21500,https://github.com/httpie
,Kong,21000,https://github.com/Kong
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20200,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19200,https://github.com/microsoft/api-guidelines
,pubkey,17500,https://github.com/pubkey
shieldfy,API-Security-Checklist,17200,https://github.com/shieldfy/API-Security-Checklist
,directus,16000,https://github.com/directus
,ChainSafe,15000,https://github.com/ChainSafe
,learn-anything,14000,https://github.com/learn-anything
youfou,wxpy,13300,https://github.com/youfou/wxpy
jsdoc,jsdoc,12900,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12600,https://github.com/BrainJS/brain.js
OpenAPITools,openapi-generator,12200,https://github.com/OpenAPITools/openapi-generator
fangzesheng,free-api,12200,https://github.com/fangzesheng/free-api
go-chi,chi,11500,https://github.com/go-chi/chi
graphile,postgraphile,11300,https://github.com/graphile/postgraphile
postmanlabs,httpbin,10900,https://github.com/postmanlabs/httpbin
