username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10500,https://github.com/dotnet/AspNetCore.Docs
,aspnetboilerplate,10300,https://github.com/aspnetboilerplate
,bitwarden,9800,https://github.com/bitwarden
,abpframework,8000,https://github.com/abpframework
nopSolutions,nopCommerce,7200,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6300,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5200,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,5000,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2300,https://github.com/dotnet/aspnet-api-versioning
,loic-sharma,2000,https://github.com/loic-sharma
,mjebrahimi,1800,https://github.com/mjebrahimi
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
,MarimerLLC,1000,https://github.com/MarimerLLC
riganti,dotvvm,605,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,607,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,588,https://github.com/antonioCoco/SharPyShell
json-api-dotnet,JsonApiDotNetCore,556,https://github.com/json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,458,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,442,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,429,https://github.com/YAFNET/YAFNET
Maarten88,rrod,377,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,379,https://github.com/SapphireDb/SapphireDb
,Taritsyn,366,https://github.com/Taritsyn
chsakell,aspnet-core-identity,352,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,328,https://github.com/EEParker/aspnetcore-vueclimiddleware
smartstore,Smartstore,323,https://github.com/smartstore/Smartstore
ALMMa,datatables.aspnet,287,https://github.com/ALMMa/datatables.aspnet
