username,repo_name,stars,repo_url
,jwasham,220000,https://github.com/jwasham
CyC2018,CS-Notes,151000,https://github.com/CyC2018/CS-Notes
,trekhleb,141000,https://github.com/trekhleb
TheAlgorithms,Python,136000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,70400,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,57300,https://github.com/kdn251/interviews
,azl397985856,48000,https://github.com/azl397985856
TheAlgorithms,Java,46100,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,36800,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,26900,https://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26700,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,25500,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,25200,https://github.com/halfrost/LeetCode-Go
huihut,interview,24300,https://github.com/huihut/interview
keon,algorithms,20800,https://github.com/keon/algorithms
TheAlgorithms,JavaScript,20000,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,19400,https://github.com/TheAlgorithms/C-Plus-Plus
,trekhleb,19300,https://github.com/trekhleb
mxgmn,WaveFunctionCollapse,18500,https://github.com/mxgmn/WaveFunctionCollapse
,AtsushiSakai,15300,https://github.com/AtsushiSakai
greyireland,algorithm-pattern,13400,https://github.com/greyireland/algorithm-pattern
,OpenGenus,13000,https://github.com/OpenGenus
williamfiset,Algorithms,12700,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,11100,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9700,https://github.com/lnishan/awesome-competitive-programming
jeffgerickson,algorithms,7500,https://github.com/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,7300,https://github.com/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,7200,https://github.com/mgechev/javascript-algorithms
,gyoogle,7200,https://github.com/gyoogle
