username,repo_name,stars,repo_url
serverless,serverless,42900,https://github.com/serverless/serverless
localstack,localstack,41400,https://github.com/localstack/localstack
bregman-arie,devops-exercises,25300,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23200,https://github.com/donnemartin/data-science-ipython-notebooks
ramitsurana,awesome-kubernetes,12800,https://github.com/ramitsurana/awesome-kubernetes
pulumi,pulumi,12700,https://github.com/pulumi/pulumi
aws,aws-cli,12500,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12400,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10400,https://github.com/donnemartin/awesome-aws
mozilla,sops,10000,https://github.com/mozilla/sops
apereo,cas,9500,https://github.com/apereo/cas
aws,chalice,8900,https://github.com/aws/chalice
aws,aws-cdk,8800,https://github.com/aws/aws-cdk
aws-amplify,amplify-js,8800,https://github.com/aws-amplify/amplify-js
caprover,caprover,8700,https://github.com/caprover/caprover
aws,serverless-application-model,8600,https://github.com/aws/serverless-application-model
apex,up,8500,https://github.com/apex/up
google,go-cloud,8400,https://github.com/google/go-cloud
angristan,openvpn-install,8200,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7600,https://github.com/aws/aws-sdk-go
GoogleCloudPlatform,terraformer,7600,https://github.com/GoogleCloudPlatform/terraformer
hashicorp,terraform-provider-aws,7400,https://github.com/hashicorp/terraform-provider-aws
boto,boto3,7300,https://github.com/boto/boto3
aws,aws-sdk-js,7100,https://github.com/aws/aws-sdk-js
aws,amazon-sagemaker-examples,7000,https://github.com/aws/amazon-sagemaker-examples
serverless-stack,serverless-stack,6800,https://github.com/serverless-stack/serverless-stack
infracost,infracost,6800,https://github.com/infracost/infracost
awslabs,aws-shell,6600,https://github.com/awslabs/aws-shell
99designs,aws-vault,6300,https://github.com/99designs/aws-vault
gruntwork-io,terratest,6100,https://github.com/gruntwork-io/terratest
