username,repo_name,stars,repo_url
amphp,amp,3600,https://github.com/amphp/amp
danog,MadelineProto,2000,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,709,https://github.com/unreal4u/telegram-api
amphp,http-client,608,https://github.com/amphp/http-client
amphp,parallel,581,https://github.com/amphp/parallel
php-service-bus,service-bus,317,https://github.com/php-service-bus/service-bus
amphp,byte-stream,288,https://github.com/amphp/byte-stream
amphp,mysql,274,https://github.com/amphp/mysql
amphp,parallel-functions,224,https://github.com/amphp/parallel-functions
amphp,process,173,https://github.com/amphp/process
amphp,socket,162,https://github.com/amphp/socket
amphp,redis,126,https://github.com/amphp/redis
amphp,dns,117,https://github.com/amphp/dns
kelunik,acme,108,https://github.com/kelunik/acme
amphp,sync,107,https://github.com/amphp/sync
amphp,websocket-client,102,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,77,https://github.com/amphp/websocket-server
amphp,file,72,https://github.com/amphp/file
jolicode,asynit,69,https://github.com/jolicode/asynit
amphp,cache,73,https://github.com/amphp/cache
amphp,serialization,72,https://github.com/amphp/serialization
amphp,postgres,64,https://github.com/amphp/postgres
amphp,windows-registry,67,https://github.com/amphp/windows-registry
amphp,hpack,67,https://github.com/amphp/hpack
amphp,beanstalk,58,https://github.com/amphp/beanstalk
phpinnacle,ridge,45,https://github.com/phpinnacle/ridge
amphp,aerys,44,https://github.com/amphp/aerys
amphp,cluster,42,https://github.com/amphp/cluster
