username,repo_name,stars,repo_url
flutter,flutter,142000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,93200,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,66100,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,51300,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45900,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42700,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42300,https://github.com/square/okhttp
android,architecture-samples,40900,https://github.com/android/architecture-samples
Solido,awesome-flutter,40900,https://github.com/Solido/awesome-flutter
square,retrofit,40100,https://github.com/square/retrofit
PhilJay,MPAndroidChart,35200,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,35000,https://github.com/fastlane/fastlane
airbnb,lottie-android,32800,https://github.com/airbnb/lottie-android
bumptech,glide,32600,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32600,https://github.com/shadowsocks/shadowsocks-android
Trinea,android-open-project,30900,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30900,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30800,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30400,https://github.com/bilibili/ijkplayer
skylot,jadx,30400,https://github.com/skylot/jadx
laurent22,joplin,30100,https://github.com/laurent22/joplin
zxing,zxing,29700,https://github.com/zxing/zxing
codepath,android_guides,27800,https://github.com/codepath/android_guides
square,leakcanary,27600,https://github.com/square/leakcanary
alibaba,fastjson,24700,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23600,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22900,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
appwrite,appwrite,22600,https://github.com/appwrite/appwrite
react-native-elements,react-native-elements,22400,https://github.com/react-native-elements/react-native-elements
google,iosched,21500,https://github.com/google/iosched
