username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,93200,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,81900,https://github.com/angular/angular
storybookjs,storybook,71400,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,49300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47400,https://github.com/ionic-team/ionic-framework
prettier,prettier,42800,https://github.com/prettier/prettier
SheetJS,sheetjs,30300,https://github.com/SheetJS/sheetjs
angular,angular-cli,25400,https://github.com/angular/angular-cli
angular,components,22700,https://github.com/angular/components
NativeScript,NativeScript,21300,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19600,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,17700,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17600,https://github.com/pubkey/rxdb
handsontable,handsontable,16700,https://github.com/handsontable/handsontable
teambit,bit,15300,https://github.com/teambit/bit
sweetalert2,sweetalert2,14600,https://github.com/sweetalert2/sweetalert2
nrwl,nx,12900,https://github.com/nrwl/nx
linnovate,mean,12200,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11600,https://github.com/codesandbox/codesandbox-client
Chocobozzz,PeerTube,10700,https://github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
sudheerj,javascript-interview-questions,10300,https://github.com/sudheerj/javascript-interview-questions
angular,protractor,8800,https://github.com/angular/protractor
dotansimha,graphql-code-generator,8800,https://github.com/dotansimha/graphql-code-generator
jasontaylordev,CleanArchitecture,8800,https://github.com/jasontaylordev/CleanArchitecture
ag-grid,ag-grid,8700,https://github.com/ag-grid/ag-grid
OnsenUI,OnsenUI,8600,https://github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8300,https://github.com/PatrickJS/awesome-angular
NG-ZORRO,ng-zorro-antd,8200,https://github.com/NG-ZORRO/ng-zorro-antd
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
