username,repo_name,stars,repo_url
ansible,ansible,53200,https://github.com/ansible/ansible
,trailofbits,25500,https://github.com/trailofbits
,bregman-arie,24300,https://github.com/bregman-arie
StreisandEffect,streisand,22800,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,12900,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12300,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11000,https://github.com/ansible/awx
easzlab,kubeasz,8100,https://github.com/easzlab/kubeasz
khuedoan,homelab,5700,https://github.com/khuedoan/homelab
geerlingguy,ansible-for-devops,5800,https://github.com/geerlingguy/ansible-for-devops
curlconverter,curlconverter,5500,https://github.com/curlconverter/curlconverter
,ansible-semaphore,4900,https://github.com/ansible-semaphore
,Tikam02,4800,https://github.com/Tikam02
rundeck,rundeck,4600,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4300,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3600,https://github.com/clong/DetectionLab
,ansible-community,3300,https://github.com/ansible-community
,werf,3100,https://github.com/werf
netbootxyz,netboot.xyz,3000,https://github.com/netbootxyz/netboot.xyz
welliamcao,OpsManage,2900,https://github.com/welliamcao/OpsManage
,ansible,2800,https://github.com/ansible
dev-sec,ansible-collection-hardening,2800,https://github.com/dev-sec/ansible-collection-hardening
,litmuschaos,2700,https://github.com/litmuschaos
alixaxel,chrome-aws-lambda,2700,https://github.com/alixaxel/chrome-aws-lambda
,roots,2300,https://github.com/roots
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
fboender,ansible-cmdb,2100,https://github.com/fboender/ansible-cmdb
openshift,openshift-ansible,2100,https://github.com/openshift/openshift-ansible
pytest-dev,pytest-testinfra,2000,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,2000,https://github.com/leucos/ansible-tuto
