username,repo_name,stars,repo_url
,arendst,17600,https://github.com/arendst
,MarlinFirmware,13100,https://github.com/MarlinFirmware
arduino,Arduino,12900,https://github.com/arduino/Arduino
rwaldron,johnny-five,12600,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,10000,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9900,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,8700,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7700,https://github.com/hybridgroup/gobot
platformio,platformio-core,5900,https://github.com/platformio/platformio-core
,bblanchon,5700,https://github.com/bblanchon
tzapu,WiFiManager,5200,https://github.com/tzapu/WiFiManager
Arduino-IRremote,Arduino-IRremote,3600,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3400,https://github.com/blynkkk/blynk-library
,arduino,3400,https://github.com/arduino
,NectarJS,3300,https://github.com/NectarJS
olikraus,u8g2,3100,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,2900,https://github.com/ClemensElflein/OpenMower
,1technophile,2600,https://github.com/1technophile
,Serial-Studio,2600,https://github.com/Serial-Studio
scottlawsonbc,audio-reactive-led-strip,2300,https://github.com/scottlawsonbc/audio-reactive-led-strip
scottbez1,splitflap,2300,https://github.com/scottbez1/splitflap
,isl-org,2200,https://github.com/isl-org
crankyoldgit,IRremoteESP8266,2100,https://github.com/crankyoldgit/IRremoteESP8266
stm32duino,Arduino_Core_STM32,1900,https://github.com/stm32duino/Arduino_Core_STM32
Bodmer,TFT_eSPI,1900,https://github.com/Bodmer/TFT_eSPI
,nRF24,1900,https://github.com/nRF24
blinker-iot,blinker-library,1800,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1700,https://github.com/ThingPulse/esp8266-oled-ssd1306
vshymanskyy,TinyGSM,1500,https://github.com/vshymanskyy/TinyGSM
earlephilhower,ESP8266Audio,1400,https://github.com/earlephilhower/ESP8266Audio
