username,repo_name,stars,repo_url
atom,atom,57600,https://github.com/atom/atom
,themerdev,4700,https://github.com/themerdev
nteract,hydrogen,3800,https://github.com/nteract/hydrogen
miniflux,v2,3600,https://github.com/miniflux/v2
shd101wyy,markdown-preview-enhanced,3600,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://github.com/atom/teletype
mmcdole,gofeed,1900,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
kurtmckee,feedparser,1400,https://github.com/kurtmckee/feedparser
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
ocaml,merlin,1400,https://github.com/ocaml/merlin
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
atom,apm,1300,https://github.com/atom/apm
,file-icons,1200,https://github.com/file-icons
,kettanaito,1100,https://github.com/kettanaito
,atom,1000,https://github.com/atom
nmdias,FeedKit,984,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,962,https://github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,927,https://github.com/danhper/atomic-chrome
fwcd,kotlin-language-server,933,https://github.com/fwcd/kotlin-language-server
jesseweed,seti-ui,895,https://github.com/jesseweed/seti-ui
prettier,prettier-atom,777,https://github.com/prettier/prettier-atom
,jpmonette,783,https://github.com/jpmonette
raphamorim,lucario,746,https://github.com/raphamorim/lucario
atom-community,atom-script,737,https://github.com/atom-community/atom-script
jasonmunro,cypht,720,https://github.com/jasonmunro/cypht
feeddd,feeds,716,https://github.com/feeddd/feeds
