username,repo_name,stars,repo_url
,sindresorhus,202000,https://github.com/sindresorhus
vinta,awesome-python,128000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,89100,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,81000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,68500,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,60600,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,55700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,51100,https://github.com/Hack-with-Github/Awesome-Hacking
,jaywcjlove,49400,https://github.com/jaywcjlove
DopplerHQ,awesome-interview-questions,46700,https://github.com/DopplerHQ/awesome-interview-questions
,sindresorhus,44600,https://github.com/sindresorhus
,wasabeef,42700,https://github.com/wasabeef
,Solido,40700,https://github.com/Solido
MunGell,awesome-for-beginners,40300,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,40200,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,39500,https://github.com/vsouza/awesome-ios
,binhnguyennus,38600,https://github.com/binhnguyennus
fffaraz,awesome-cpp,37500,https://github.com/fffaraz/awesome-cpp
dypsilon,frontend-dev-bookmarks,33800,https://github.com/dypsilon/frontend-dev-bookmarks
,serhii-londar,30400,https://github.com/serhii-londar
dkhamsing,open-source-ios-apps,30200,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29800,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26600,https://github.com/ziadoz/awesome-php
rust-unofficial,awesome-rust,25900,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,24300,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23600,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22700,https://github.com/sindresorhus/awesome-electron
lukasz-madon,awesome-remote-job,22200,https://github.com/lukasz-madon/awesome-remote-job
matteocrippa,awesome-swift,22000,https://github.com/matteocrippa/awesome-swift
veggiemonk,awesome-docker,21800,https://github.com/veggiemonk/awesome-docker
