username,repo_name,stars,repo_url
,bregman-arie,24300,https://github.com/bregman-arie
microsoft,recommenders,13200,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,12800,https://github.com/ramitsurana/awesome-kubernetes
pulumi,pulumi,12500,https://github.com/pulumi/pulumi
,Azure,11800,https://github.com/Azure
mozilla,sops,9800,https://github.com/mozilla/sops
caprover,caprover,8600,https://github.com/caprover/caprover
,microsoft,8500,https://github.com/microsoft
,google,8400,https://github.com/google
microsoft,azuredatastudio,6800,https://github.com/microsoft/azuredatastudio
,infracost,6600,https://github.com/infracost
,node-formidable,6200,https://github.com/node-formidable
midwayjs,midway,5700,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5000,https://github.com/thangchung/clean-code-dotnet
,aquasecurity,4500,https://github.com/aquasecurity
bridgecrewio,checkov,4200,https://github.com/bridgecrewio/checkov
,cloud-custodian,4200,https://github.com/cloud-custodian
nccgroup,ScoutSuite,4300,https://github.com/nccgroup/ScoutSuite
Azure,autorest,3800,https://github.com/Azure/autorest
,Azure,3700,https://github.com/Azure
,simov,3600,https://github.com/simov
hashicorp,terraform-provider-azurerm,3300,https://github.com/hashicorp/terraform-provider-azurerm
,microsoft,3300,https://github.com/microsoft
Azure,azure-powershell,3100,https://github.com/Azure/azure-powershell
Azure,azure-cli,3100,https://github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,3100,https://github.com/Azure/MachineLearningNotebooks
,Azure,2800,https://github.com/Azure
APIs-guru,openapi-directory,2800,https://github.com/APIs-guru/openapi-directory
,mlabouardy,2800,https://github.com/mlabouardy
learntocloud,learn-to-cloud,2700,https://github.com/learntocloud/learn-to-cloud
