username,repo_name,stars,repo_url
,jlevy,106000,https://github.com/jlevy
nvm-sh,nvm,58000,https://github.com/nvm-sh/nvm
,junegunn,44500,https://github.com/junegunn
google,zx,31200,https://github.com/google/zx
dylanaraps,pure-bash-bible,31100,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,28800,https://github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,28600,https://github.com/LeCoupa/awesome-cheatsheets
mathiasbynens,dotfiles,27800,https://github.com/mathiasbynens/dotfiles
acmesh-official,acme.sh,26700,https://github.com/acmesh-official/acme.sh
,starship,26500,https://github.com/starship
alebcay,awesome-shell,23600,https://github.com/alebcay/awesome-shell
,jaywcjlove,18700,https://github.com/jaywcjlove
,withfig,18000,https://github.com/withfig
dylanaraps,neofetch,15200,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15100,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14200,https://github.com/rbenv/rbenv
powerline,powerline,13300,https://github.com/powerline/powerline
shelljs,shelljs,13200,https://github.com/shelljs/shelljs
Bash-it,bash-it,13000,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12700,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12500,https://github.com/jessfraz/dockerfiles
denisidoro,navi,11100,https://github.com/denisidoro/navi
direnv,direnv,9100,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,8800,https://github.com/skywind3000/awesome-cheatsheets
rgcr,m-cli,8800,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8700,https://github.com/alexanderepstein/Bash-Snippets
,carlospolop,8800,https://github.com/carlospolop
kanaka,mal,8600,https://github.com/kanaka/mal
angristan,openvpn-install,8100,https://github.com/angristan/openvpn-install
,extrawurst,8000,https://github.com/extrawurst
