username,repo_name,stars,repo_url
bitcoin,bitcoin,64300,https://github.com/bitcoin/bitcoin
,ccxt,24500,https://github.com/ccxt
HelloZeroNet,ZeroNet,17500,https://github.com/HelloZeroNet/ZeroNet
,freqtrade,17500,https://github.com/freqtrade
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,9000,https://github.com/bbfamily/abu
solana-labs,solana,8600,https://github.com/solana-labs/solana
dvf,blockchain,6900,https://github.com/dvf/blockchain
lightningnetwork,lnd,6000,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5700,https://github.com/spesmilo/electrum
butor,blackbird,5500,https://github.com/butor/blackbird
btcsuite,btcd,4800,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4600,https://github.com/bitcoinjs/bitcoinjs-lib
,jesse-ai,3900,https://github.com/jesse-ai
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
btcpayserver,btcpayserver,3600,https://github.com/btcpayserver/btcpayserver
Jeiwan,blockchain_go,3400,https://github.com/Jeiwan/blockchain_go
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
,cointop-sh,3200,https://github.com/cointop-sh
bitcoin-wallet,bitcoin-wallet,2900,https://github.com/bitcoin-wallet/bitcoin-wallet
,ctubio,2700,https://github.com/ctubio
,lbryio,2700,https://github.com/lbryio
bcoin-org,bcoin,2700,https://github.com/bcoin-org/bcoin
stacks-network,stacks-blockchain,2700,https://github.com/stacks-network/stacks-blockchain
Xel,Blockchain-stuff,2600,https://github.com/Xel/Blockchain-stuff
imfly,bitcoin-on-nodejs,2400,https://github.com/imfly/bitcoin-on-nodejs
,BlockchainCommons,2300,https://github.com/BlockchainCommons
yjjnls,awesome-blockchain,2200,https://github.com/yjjnls/awesome-blockchain
spothq,cryptocurrency-icons,2200,https://github.com/spothq/cryptocurrency-icons
yasinkuyu,binance-trader,2200,https://github.com/yasinkuyu/binance-trader
