username,repo_name,stars,repo_url
,ccxt,24500,https://github.com/ccxt
,discordjs,19400,https://github.com/discordjs
python-telegram-bot,python-telegram-bot,18600,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16200,https://github.com/hubotio/hubot
InstaPy,InstaPy,14200,https://github.com/InstaPy/InstaPy
,RasaHQ,14000,https://github.com/RasaHQ
,wechaty,12800,https://github.com/wechaty
gunthercox,ChatterBot,12300,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11300,https://github.com/tgbot-collection/YYeTsBot
botpress,botpress,9700,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8900,https://github.com/sfyc23/EverydayWechat
,leon-ai,8700,https://github.com/leon-ai
microsoft,ailab,7000,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6800,https://github.com/microsoft/botframework-sdk
,pedroslopez,6500,https://github.com/pedroslopez
yagop,node-telegram-bot-api,6200,https://github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,6100,https://github.com/maxbbraun/trump2cash
deepmipt,DeepPavlov,5700,https://github.com/deepmipt/DeepPavlov
,telegraf,5700,https://github.com/telegraf
botman,botman,5600,https://github.com/botman/botman
axa-group,nlp.js,4900,https://github.com/axa-group/nlp.js
Mrs4s,go-cqhttp,4900,https://github.com/Mrs4s/go-cqhttp
,jef,4800,https://github.com/jef
,ohld,4200,https://github.com/ohld
BotsAppOfficial,BotsApp,4100,https://github.com/BotsAppOfficial/BotsApp
,jesse-ai,3900,https://github.com/jesse-ai
,Yoctol,3900,https://github.com/Yoctol
orkestral,venom,3900,https://github.com/orkestral/venom
chrisleekr,binance-trading-bot,3900,https://github.com/chrisleekr/binance-trading-bot
