username,repo_name,stars,repo_url
CyC2018,CS-Notes,151000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,68000,https://github.com/practical-tutorials/project-based-learning
,azl397985856,48000,https://github.com/azl397985856
x64dbg,x64dbg,38500,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,37500,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,26900,https://github.com/youngyangyang04/leetcode-master
,microsoft,24800,https://github.com/microsoft
huihut,interview,24300,https://github.com/huihut/interview
,CMU-Perceptual-Computing-Lab,24200,https://github.com/CMU-Perceptual-Computing-Lab
yuzu-emu,yuzu,20300,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,19400,https://github.com/TheAlgorithms/C-Plus-Plus
,changkun,17500,https://github.com/changkun
ethereum,solidity,16800,https://github.com/ethereum/solidity
microsoft,vcpkg,15800,https://github.com/microsoft/vcpkg
catchorg,Catch2,15100,https://github.com/catchorg/Catch2
gabime,spdlog,14600,https://github.com/gabime/spdlog
,doocs,14200,https://github.com/doocs
AnthonyCalandra,modern-cpp-features,14000,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,13700,https://github.com/ssloy/tinyrenderer
,Qv2ray,13700,https://github.com/Qv2ray
facebook,infer,13300,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12700,https://github.com/CoatiSoftware/Sourcetrail
google,tink,12400,https://github.com/google/tink
kyleneideck,BackgroundMusic,11400,https://github.com/kyleneideck/BackgroundMusic
,SFTtech,11000,https://github.com/SFTtech
compiler-explorer,compiler-explorer,10700,https://github.com/compiler-explorer/compiler-explorer
OpenRCT2,OpenRCT2,10600,https://github.com/OpenRCT2/OpenRCT2
polybar,polybar,10500,https://github.com/polybar/polybar
,microsoft,10100,https://github.com/microsoft
typesense,typesense,9900,https://github.com/typesense/typesense
