username,repo_name,stars,repo_url
Genymobile,scrcpy,66100,https://github.com/Genymobile/scrcpy
neovim,neovim,54200,https://github.com/neovim/neovim
git,git,42400,https://github.com/git/git
obsproject,obs-studio,38800,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,37700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,30500,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30000,https://github.com/FFmpeg/FFmpeg
vim,vim,27200,https://github.com/vim/vim
curl,curl,25300,https://github.com/curl/curl
huihut,interview,24400,https://github.com/huihut/interview
ggreer,the_silver_searcher,23700,https://github.com/ggreer/the_silver_searcher
ruby,ruby,19200,https://github.com/ruby/ruby
mpv-player,mpv,18900,https://github.com/mpv-player/mpv
pbatard,rufus,18500,https://github.com/pbatard/rufus
ossrs,srs,18300,https://github.com/ossrs/srs
google,flatbuffers,18000,https://github.com/google/flatbuffers
oracle,graal,17100,https://github.com/oracle/graal
radareorg,radare2,16300,https://github.com/radareorg/radare2
microsoft,vcpkg,15900,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14900,https://github.com/shadowsocks/shadowsocks-libev
kovidgoyal,kitty,14900,https://github.com/kovidgoyal/kitty
allinurl,goaccess,14800,https://github.com/allinurl/goaccess
hashcat,hashcat,14600,https://github.com/hashcat/hashcat
jarun,nnn,14300,https://github.com/jarun/nnn
TheAlgorithms,C,13700,https://github.com/TheAlgorithms/C
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13300,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12700,https://github.com/CoatiSoftware/Sourcetrail
qmk,qmk_firmware,12500,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11500,https://github.com/s-matyukevich/raspberry-pi-os
