username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,28800,https://github.com/CSSEGISandData/COVID-19
,covid19india,6900,https://github.com/covid19india
,nytimes,6800,https://github.com/nytimes
,tokyo-metropolitan-gov,6300,https://github.com/tokyo-metropolitan-gov
owid,covid-19-data,5300,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
,ieee8023,2800,https://github.com/ieee8023
disease-sh,API,2400,https://github.com/disease-sh/API
geohot,corona,2200,https://github.com/geohot/corona
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
,corona-warn-app,1800,https://github.com/corona-warn-app
,ahmadawais,1800,https://github.com/ahmadawais
,github,1600,https://github.com/github
,ExpDev07,1600,https://github.com/ExpDev07
,soroushchehresa,1500,https://github.com/soroushchehresa
,mhdhejazi,1500,https://github.com/mhdhejazi
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
,chandrikadeb7,1300,https://github.com/chandrikadeb7
,covidpass-org,1200,https://github.com/covidpass-org
pomber,covid19,1200,https://github.com/pomber/covid19
chrismattmann,tika-python,1200,https://github.com/chrismattmann/tika-python
datasets,covid-19,1200,https://github.com/datasets/covid-19
FoldingAtHome,coronavirus,1100,https://github.com/FoldingAtHome/coronavirus
,lindawangg,1100,https://github.com/lindawangg
cyberman54,ESP32-Paxcounter,1000,https://github.com/cyberman54/ESP32-Paxcounter
UCSD-AI4H,COVID-CT,965,https://github.com/UCSD-AI4H/COVID-CT
ImperialCollegeLondon,covid19model,938,https://github.com/ImperialCollegeLondon/covid19model
MoH-Malaysia,covid19-public,931,https://github.com/MoH-Malaysia/covid19-public
nychealth,coronavirus-data,914,https://github.com/nychealth/coronavirus-data
cirosantilli,china-dictatorship,850,https://github.com/cirosantilli/china-dictatorship
