username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,26400,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,18800,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,18000,https://github.com/refined-github/refined-github
checkly,headless-recorder,14200,https://github.com/checkly/headless-recorder
darkreader,darkreader,14100,https://github.com/darkreader/darkreader
unbug,codelf,12900,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,9500,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9200,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8600,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8500,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7800,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7200,https://github.com/alyssaxuu/screenity
dailydotdev,daily,7200,https://github.com/dailydotdev/daily
Kenshin,simpread,6000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,4900,https://github.com/ajayyy/SponsorBlock
dessant,buster,4900,https://github.com/dessant/buster
manojVivek,medium-unlimited,4800,https://github.com/manojVivek/medium-unlimited
AutomaApp,automa,4700,https://github.com/AutomaApp/automa
alyssaxuu,omni,4600,https://github.com/alyssaxuu/omni
altair-graphql,altair,4200,https://github.com/altair-graphql/altair
webclipper,web-clipper,4200,https://github.com/webclipper/web-clipper
zxlie,FeHelper,4100,https://github.com/zxlie/FeHelper
openstyles,stylus,3900,https://github.com/openstyles/stylus
bilibili-helper,bilibili-helper-o,3800,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
hcfyapp,crx-selection-translate,3700,https://github.com/hcfyapp/crx-selection-translate
KartikTalwar,gmail.js,3500,https://github.com/KartikTalwar/gmail.js
honestbleeps,Reddit-Enhancement-Suite,3500,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3500,https://github.com/WorldBrain/Memex
vinta,pangu.js,3500,https://github.com/vinta/pangu.js
