username,repo_name,stars,repo_url
electron,electron,102000,https://github.com/electron/electron
microsoft,playwright,38900,https://github.com/microsoft/playwright
FiloSottile,mkcert,35400,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,26400,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22000,https://github.com/ovity/octotree
segmentio,nightmare,19200,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,18800,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,14200,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
google,WebFundamentals,13200,https://github.com/google/WebFundamentals
casesandberg,react-color,10700,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10100,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9200,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8600,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8100,https://github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7700,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6600,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6200,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,6000,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5200,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,5000,https://github.com/MontFerret/ferret
ajayyy,SponsorBlock,4900,https://github.com/ajayyy/SponsorBlock
themerdev,themer,4700,https://github.com/themerdev/themer
moonD4rk,HackBrowserData,4700,https://github.com/moonD4rk/HackBrowserData
alyssaxuu,omni,4600,https://github.com/alyssaxuu/omni
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
browserless,chrome,4600,https://github.com/browserless/chrome
burtonator,polar-bookshelf,4500,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4400,https://github.com/nieweidong/fetool
