username,repo_name,stars,repo_url
metabase,metabase,28600,https://github.com/metabase/metabase
logseq,logseq,14300,https://github.com/logseq/logseq
eclipse,deeplearning4j,12500,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
penpot,penpot,10400,https://github.com/penpot/penpot
kanaka,mal,8700,https://github.com/kanaka/mal
lk-geimfari,awesomo,8400,https://github.com/lk-geimfari/awesomo
tonsky,datascript,4800,https://github.com/tonsky/datascript
reagent-project,reagent,4500,https://github.com/reagent-project/reagent
riemann,riemann,4100,https://github.com/riemann/riemann
weavejester,compojure,3900,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3800,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3700,https://github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-react,3400,https://github.com/status-im/status-react
ring-clojure,ring,3400,https://github.com/ring-clojure/ring
clojure-emacs,cider,3300,https://github.com/clojure-emacs/cider
viebel,klipse,2900,https://github.com/viebel/klipse
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2900,https://github.com/tallesl/Rich-Hickey-fanclub
babashka,babashka,2800,https://github.com/babashka/babashka
twosigma,beakerx,2600,https://github.com/twosigma/beakerx
pedestal,pedestal,2500,https://github.com/pedestal/pedestal
clj-commons,aleph,2400,https://github.com/clj-commons/aleph
weavejester,hiccup,2400,https://github.com/weavejester/hiccup
razum2um,awesome-clojure,2400,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2300,https://github.com/http-kit/http-kit
defold,defold,2200,https://github.com/defold/defold
onyx-platform,onyx,2000,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1900,https://github.com/anmonteiro/lumo
xtdb,xtdb,1900,https://github.com/xtdb/xtdb
