username,repo_name,stars,repo_url
,ohmyzsh,145000,https://github.com/ohmyzsh
,junegunn,44500,https://github.com/junegunn
,sharkdp,34700,https://github.com/sharkdp
wagoodman,dive,32000,https://github.com/wagoodman/dive
sherlock-project,sherlock,31800,https://github.com/sherlock-project/sherlock
google,zx,31200,https://github.com/google/zx
BurntSushi,ripgrep,31100,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29200,https://github.com/chubin/cheat.sh
,cli,28600,https://github.com/cli
jesseduffield,lazygit,27500,https://github.com/jesseduffield/lazygit
spf13,cobra,26700,https://github.com/spf13/cobra
angular,angular-cli,25400,https://github.com/angular/angular-cli
alebcay,awesome-shell,23600,https://github.com/alebcay/awesome-shell
sharkdp,fd,22900,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,22600,https://github.com/ibraheemdev/modern-unix
,n8n-io,22500,https://github.com/n8n-io
google,python-fire,22400,https://github.com/google/python-fire
,httpie,21500,https://github.com/httpie
,vercel,21200,https://github.com/vercel
,avajs,19800,https://github.com/avajs
chalk,chalk,18500,https://github.com/chalk/chalk
vadimdemedes,ink,18400,https://github.com/vadimdemedes/ink
urfave,cli,18300,https://github.com/urfave/cli
,withfig,18000,https://github.com/withfig
,svg,17700,https://github.com/svg
gpakosz,.tmux,16600,https://github.com/gpakosz/.tmux
,allinurl,14700,https://github.com/allinurl
asdf-vm,asdf,14600,https://github.com/asdf-vm/asdf
,antonmedv,14300,https://github.com/antonmedv
jarun,nnn,14200,https://github.com/jarun/nnn
