username,repo_name,stars,repo_url
vercel,next.js,87700,https://github.com/vercel/next.js
rust-lang,rust,67300,https://github.com/rust-lang/rust
webpack,webpack,61200,https://github.com/webpack/webpack
sveltejs,svelte,59300,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,53100,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,41700,https://github.com/JetBrains/kotlin
babel,babel,40900,https://github.com/babel/babel
parcel-bundler,parcel,40800,https://github.com/parcel-bundler/parcel
evanw,esbuild,32000,https://github.com/evanw/esbuild
vlang,v,29200,https://github.com/vlang/v
markedjs,marked,27700,https://github.com/markedjs/marked
swc-project,swc,22400,https://github.com/swc-project/swc
vercel,pkg,21300,https://github.com/vercel/pkg
v8,v8,19600,https://github.com/v8/v8
AssemblyScript,assemblyscript,14100,https://github.com/AssemblyScript/assemblyscript
ziglang,zig,14100,https://github.com/ziglang/zig
Konloch,bytecode-viewer,13000,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,13000,https://github.com/nim-lang/Nim
RustPython,RustPython,11400,https://github.com/RustPython/RustPython
gopherjs,gopherjs,11100,https://github.com/gopherjs/gopherjs
compiler-explorer,compiler-explorer,10800,https://github.com/compiler-explorer/compiler-explorer
apache,tvm,8200,https://github.com/apache/tvm
numba,numba,7600,https://github.com/numba/numba
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
Nuitka,Nuitka,6900,https://github.com/Nuitka/Nuitka
elm,compiler,6900,https://github.com/elm/compiler
aalhour,awesome-compilers,6800,https://github.com/aalhour/awesome-compilers
DoctorWkt,acwj,6500,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5800,https://github.com/rescript-lang/rescript-compiler
enso-org,enso,5500,https://github.com/enso-org/enso
