username,repo_name,stars,repo_url
,localstack,41100,https://github.com/localstack
harness,drone,25000,https://github.com/harness/drone
jenkinsci,jenkins,18900,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12300,https://github.com/auchenberg/volkswagen
openshift,origin,8100,https://github.com/openshift/origin
theonedev,onedev,7600,https://github.com/theonedev/onedev
gocd,gocd,6500,https://github.com/gocd/gocd
concourse,concourse,6300,https://github.com/concourse/concourse
buildbot,buildbot,4800,https://github.com/buildbot/buildbot
,jenkins-x,4200,https://github.com/jenkins-x
,ovh,3900,https://github.com/ovh
cake-build,cake,3300,https://github.com/cake-build/cake
,iterative,3200,https://github.com/iterative
,werf,3100,https://github.com/werf
,JamesIves,2900,https://github.com/JamesIves
,tox-dev,2800,https://github.com/tox-dev
,shivammathur,2100,https://github.com/shivammathur
,Flagsmith,1700,https://github.com/Flagsmith
bors-ng,bors-ng,1300,https://github.com/bors-ng/bors-ng
Piplin,Piplin,1000,https://github.com/Piplin/Piplin
filipdutescu,modern-cpp-template,1000,https://github.com/filipdutescu/modern-cpp-template
,agola-io,1000,https://github.com/agola-io
stepchowfun,toast,1000,https://github.com/stepchowfun/toast
caicloud,cyclone,1000,https://github.com/caicloud/cyclone
thyrlian,AndroidSDK,976,https://github.com/thyrlian/AndroidSDK
MewX,light-novel-library_Wenku8_Android,959,https://github.com/MewX/light-novel-library_Wenku8_Android
screwdriver-cd,screwdriver,934,https://github.com/screwdriver-cd/screwdriver
jin,awesome-bazel,839,https://github.com/jin/awesome-bazel
xolvio,chimp,789,https://github.com/xolvio/chimp
dotnetcore,FlubuCore,791,https://github.com/dotnetcore/FlubuCore
